time,base_x,base_y,base_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,contact_LF,contact_RF,contact_LH,contact_RH
0.7,0.353586,0.0782414,0.318211,0.0487444,-0.026064,-0.00456458,0.998461,1.02351,-0.0441308,-0.0328105,1.08288,-0.269219,-0.612584,-0.134022,1.042,-0.984129,0.0700092,0.282362,-1.27436,-0.14199,1.01931,-2.04924,0.0757682,0.979231,-1.59892,-1.05765,0.0350359,6.29523,-0.492988,4.88429,-2.92181,-0.406565,-5.19912,-3.25339,-1.42229,4.67021,-0.983987,1,1,0,1,
0.72,0.374297,0.0775841,0.317474,0.057388,-0.0232996,-0.0109838,0.99802,1.04787,-0.0208411,-0.0406454,0.694473,0.806061,-0.600106,-0.150652,1.03411,-0.877113,0.0680241,0.366871,-1.35384,-0.133062,0.798564,-1.93507,0.0491002,1.02779,-1.57892,-0.831529,-0.394615,5.35083,-0.0992546,4.22548,-3.97423,0.44638,-11.0371,5.70836,-1.3334,2.42811,0.999729,1,1,0,1,
0.74,0.395509,0.0774379,0.316594,0.0622865,-0.0118903,-0.0178173,0.997828,1.07353,0.00697233,-0.047112,0.349492,1.47017,-0.609891,-0.162741,1.01843,-0.780917,0.0734354,0.441041,-1.44471,-0.106506,0.44552,-1.63677,0.0246295,1.03798,-1.5256,-0.604417,-0.783825,4.8098,0.270565,3.7085,-4.54333,1.32782,-17.6522,14.9152,-1.22354,0.509378,2.66621,1,1,0,1,
0.76,0.417247,0.0778932,0.315598,0.063796,0.00402348,-0.0250205,0.997641,1.10048,0.0393096,-0.0522106,0.0317569,1.72154,-0.624843,-0.17011,1.07502,-0.918553,0.0842959,0.509351,-1.53453,-0.0785768,0.0964496,-1.22525,0.00276181,1.02282,-1.44758,-0.368463,2.82914,-6.88183,0.543024,3.41548,-4.49117,1.39646,-17.4535,20.5758,-1.09338,-0.758239,3.90094,0,1,0,1,
0.78,0.439537,0.0790405,0.314515,0.0621875,0.0202948,-0.032413,0.997332,1.12873,0.0761708,-0.055941,-0.272683,1.5596,-0.641829,-0.169069,1.19858,-1.39142,0.0980671,0.576864,-1.61249,-0.0587831,-0.139481,-0.88188,-0.0161959,0.995985,-1.35296,0.0520611,6.17826,-23.6432,0.68856,3.37563,-3.89787,0.989689,-11.7966,17.1687,-0.947887,-1.3415,4.73106,0,1,0,1,
0.8,0.462405,0.0809702,0.31337,0.0576586,0.0327743,-0.0398405,0.997003,1.15828,0.117556,-0.0583032,-0.579012,0.984696,-0.669019,-0.156915,1.19634,-1.81449,0.111813,0.648594,-1.66859,-0.0554554,-0.101108,-0.918343,-0.0325341,0.971559,-1.25029,0.60769,-0.112089,-21.1536,0.687314,3.5865,-2.80499,0.166385,1.91869,-1.82316,-0.816908,-1.22134,5.13345,0,1,1,1,
0.82,0.485859,0.0837216,0.312205,0.0504167,0.0382734,-0.0472031,0.996878,1.18648,0.155777,-0.0572601,-0.858244,0.281838,-0.677741,-0.133369,1.03671,-2.04821,0.123006,0.726985,-1.69494,-0.055617,0.00864654,-1.04238,-0.0472172,0.960541,-1.14665,1.1773,-7.98142,-11.6862,0.559641,3.9196,-1.31764,-0.00808151,5.48771,-6.20193,-0.734156,-0.550863,5.18222,0,1,1,1,
0.84,0.509838,0.0871289,0.311116,0.0410208,0.0374232,-0.0541588,0.996987,1.21069,0.183148,-0.0507743,-1.06633,-0.267576,-0.634707,-0.107334,0.883608,-2.08688,0.130652,0.808072,-1.692,-0.0564903,0.131855,-1.16537,-0.0609702,0.959688,-1.03856,1.30174,-7.65523,-1.93313,0.382314,4.05433,0.1471,-0.0436645,6.16041,-6.14935,-0.687648,-0.0426499,5.40439,0,1,1,1,
0.86,0.53426,0.0909752,0.31021,0.030158,0.0317689,-0.0602968,0.997219,1.23091,0.199667,-0.0388458,-1.19594,-0.668793,-0.542051,-0.0671091,0.598235,-1.93905,0.134645,0.886173,-1.66213,-0.0586331,0.26413,-1.28147,-0.0741421,0.9614,-0.918016,2.01125,-14.2687,7.39152,0.199605,3.90506,1.49336,-0.107143,6.61379,-5.80495,-0.658594,0.085574,6.02713,0,1,1,1,
0.88,0.559047,0.0950433,0.309598,0.0185866,0.0228053,-0.0651625,0.997441,1.24714,0.205335,-0.0214747,-1.23772,-0.927587,-0.39587,-0.0173569,0.223572,-1.58359,0.135131,0.956256,-1.60775,-0.0623348,0.401496,-1.38591,-0.0866471,0.956231,-0.772915,2.48761,-18.7331,17.7727,0.0243241,3.50413,2.7193,-0.185082,6.8683,-5.22189,-0.625252,-0.25842,7.25508,0,1,1,1,
0.9,0.584119,0.0991162,0.309388,0.00715309,0.0119796,-0.0682185,0.997573,1.25938,0.200152,0.00133915,-1.18282,-1.04896,-0.188558,0.0220985,-0.11526,-1.10312,0.132254,1.01454,-1.53121,-0.067511,0.539631,-1.47418,-0.0847581,1.05095,-0.929684,1.97277,-16.9416,24.0238,-0.143852,2.91421,3.82672,-0.258811,6.90671,-4.41355,0.0944503,4.73583,-7.83845,0,1,1,0,
0.92,0.6094,0.102987,0.309647,-0.00333278,0.000744407,-0.0690417,0.997608,1.26818,0.185556,0.023517,-1.05952,-1.02016,0.0252576,0.0382544,-0.303791,-0.741089,0.126447,1.05854,-1.43491,-0.0735319,0.673529,-1.54216,-0.0579418,1.1909,-1.36724,0.807796,-9.42655,18.1014,-0.290349,2.19994,4.81519,-0.301044,6.69491,-3.39893,1.34082,6.99778,-21.8776,0,1,1,0,
0.94,0.634827,0.106485,0.310284,-0.0124954,-0.00928031,-0.0679721,0.997566,1.27408,0.162985,0.0389805,-0.902179,-0.824081,0.186992,0.0309885,-0.180223,-0.85575,0.11923,1.08698,-1.32223,-0.0793955,0.797793,-1.58706,-0.0143094,1.20356,-1.73783,-0.363294,6.17843,-5.73307,-0.360829,1.42203,5.63401,-0.29318,6.21318,-2.24502,2.18162,0.633023,-18.5295,1,1,1,0,
0.96,0.660344,0.109453,0.311162,-0.0201136,-0.0163997,-0.0655097,0.997514,1.27709,0.13244,0.0477294,-0.715423,-0.457648,0.298291,0.01896,-0.043129,-0.991719,0.111876,1.09929,-1.19655,-0.0840501,0.905694,-1.60613,0.0300978,1.0857,-1.92938,-0.601427,6.85468,-6.79846,-0.367731,0.615486,6.28407,-0.232734,5.39508,-0.953624,2.22036,-5.8932,-9.57747,1,1,1,0,
0.98,0.685891,0.11173,0.312148,-0.0260285,-0.018888,-0.0621235,0.99755,1.27721,0.0939195,0.0497639,-0.505498,0.0818669,0.358777,0.0053528,0.0785844,-1.112,0.105214,1.09512,-1.0609,-0.0864143,0.989256,-1.59652,0.0584352,0.962064,-1.94661,-0.680361,6.08567,-6.01415,-0.333086,-0.208255,6.78262,-0.118208,4.17808,0.480523,1.41687,-6.18179,-0.861985,1,1,1,0,
